title,description,category,is_security_related,template_group
Slow connection,Internet performance is extremely slow for everyone at the Naas office. It started after lunch and one person is affected.,network,False,network-3
Shared mailbox access,Please authorise the Finance team to open the shared mailbox. It started after the latest restart and the whole team is affected.,access,False,access-8
PDF files will not open,The document reader reports an error for every PDF downloaded by the reception. It started while working remotely and one person is affected.,software,False,software-5
Weak wireless signal,The Wi-Fi signal disappears in part of Carlow branch for every nearby device. It started during a meeting and the whole team is affected.,network,False,network-13
Antivirus scan will not finish,The approved antivirus program stops responding midway through a routine scan. It started early this morning and the whole team is affected.,software,False,software-14
Browser closes unexpectedly,The web browser exits whenever a second tab is opened. It started when the office opened and one person is affected.,software,False,software-6
Monitor has no display,The monitor says no signal although the desktop is running for the HR team. It started early this morning and one person is affected.,hardware,False,hardware-1
Password reset,I forgot my password and need a normal account reset. It started during normal daily work and one person is affected.,access,False,access-1
Remote desktop disconnecting,The remote session drops whenever the VPN connection becomes unstable. It started during a meeting and the whole team is affected.,network,False,network-8
Cannot resolve internal address - Possible credential theft,"The internal server name is not resolving although public websites still load. It started after lunch and the whole team is affected. An unexpected page requested my username, password, and authentication code.",network,True,network-12
Incorrect totals in report,The reporting program calculates the wrong total after importing a spreadsheet. It started late yesterday and one person is affected.,software,False,software-7
Cannot log into finance software - Suspicious sign-in page,The application opens but says my account lacks permission. It started during a meeting and the whole team is affected. A fake-looking login page appeared and asked me to confirm my credentials.,access,True,access-4
Account locked,My approved account is locked after several failed sign-in attempts. It started early this morning and the whole team is affected.,access,False,access-5
Remove folder permission,Please remove a contractor's access to the confidential project folder. It started after lunch and one person is affected.,access,False,access-11
Laptop battery is swollen,The laptop case is lifting near the battery and the device should be inspected. It started after the latest restart and one person is affected.,hardware,False,hardware-6
Payroll export fails,The payroll application accepts the user login but fails while exporting data. It started during a meeting and the whole team is affected.,software,False,software-13
Desktop making warning beeps - Lost company device,The workstation beeps during startup and does not reach the login screen. It started during normal daily work and one person is affected. A work device containing company data cannot be located.,hardware,True,hardware-14
Internal website times out,The intranet cannot be reached from any computer at Naas office. It started after the latest restart and the whole team is affected.,network,False,network-7
Cloud files synchronising slowly,File synchronisation stalls only while connected to the Carlow branch network. It started late yesterday and one person is affected.,network,False,network-11
Remote desktop disconnecting,The remote session drops whenever the VPN connection becomes unstable. It started after lunch and the whole team is affected.,network,False,network-8
Printer fault,The printer jams on every page and shows a hardware error at Naas site. It started early this morning and the whole team is affected.,hardware,False,hardware-2
Shared mailbox access,Please authorise the operations team to open the shared mailbox. It started after lunch and the whole team is affected.,access,False,access-8
Incorrect totals in report,The reporting program calculates the wrong total after importing a spreadsheet. It started during a meeting and the whole team is affected.,software,False,software-7
Router light is off,There is no internet because the physical router has no power at Naas site. It started after lunch and the whole team is affected.,hardware,False,hardware-4
Multi-factor code rejected,The portal accepts my password but rejects every authentication code. It started when the office opened and one person is affected.,access,False,access-6
Second screen flickering,The physical display flickers with different cables and applications. It started while working remotely and one person is affected.,hardware,False,hardware-13
Router light is off,There is no internet because the physical router has no power at Carlow branch. It started during normal daily work and one person is affected.,hardware,False,hardware-4
Login screen freezes,The payroll software accepts my password but freezes while loading. It started during normal daily work and one person is affected.,software,False,software-4
Account locked,My approved account is locked after several failed sign-in attempts. It started after lunch and one person is affected.,access,False,access-5
Update caused an error,The application will not open since yesterday's software update. It started after the latest restart and one person is affected.,software,False,software-1
Headset microphone broken,The headset plays sound but its microphone does not capture any audio. It started after the latest restart and the whole team is affected.,hardware,False,hardware-12
Laptop fan is noisy,The laptop fan is grinding loudly and the computer becomes unusually hot. It started during a meeting and one person is affected.,hardware,False,hardware-10
Expired account,The system says my user account has expired and will not allow a sign-in. It started after the latest restart and one person is affected.,access,False,access-10
Laptop battery is swollen - Virus warning,The laptop case is lifting near the battery and the device should be inspected. It started after lunch and one person is affected. The security scanner detected a possible virus during this incident.,hardware,True,hardware-6
Wi-Fi disconnecting,Wireless access drops every few minutes throughout the Naas office. It started early this morning and the whole team is affected.,network,False,network-0
Wired connection unavailable,The network cable is connected but the workstation cannot reach any internal site. It started during a meeting and the whole team is affected.,network,False,network-5
Slow connection,Internet performance is extremely slow for everyone at the Naas site. It started after lunch and the whole team is affected.,network,False,network-3
Incorrect totals in report,The reporting program calculates the wrong total after importing a spreadsheet. It started after lunch and one person is affected.,software,False,software-7
Browser closes unexpectedly,The web browser exits whenever a second tab is opened. It started during a meeting and the whole team is affected.,software,False,software-6
Email client search broken - Unauthorised access concern,The desktop mail application opens normally but returns no search results. It started while working remotely and one person is affected. I noticed unauthorised access to my account this morning.,software,True,software-8
Internal website times out,The intranet cannot be reached from any computer at Carlow branch. It started early this morning and the whole team is affected.,network,False,network-7
Spreadsheet is frozen,Excel becomes unresponsive when opening the monthly workbook. It started during a meeting and the whole team is affected.,software,False,software-2
Password reset,I forgot my password and need a normal account reset. It started early this morning and the whole team is affected.,access,False,access-1
Update caused an error,The application will not open since yesterday's software update. It started during normal daily work and one person is affected.,software,False,software-1
Role permissions missing,I can sign in to the reporting application but cannot access the manager functions. It started after the latest restart and one person is affected.,access,False,access-7
Document formatting changed - Spoofed sender reported,The word processor moves headings and tables when the file is saved. It started during a meeting and the whole team is affected. The message appears to impersonate a manager and requests confidential data.,software,True,software-11
Headset microphone broken,The headset plays sound but its microphone does not capture any audio. It started during a meeting and the whole team is affected.,hardware,False,hardware-12
Video calls keep dropping,Calls disconnect for several people whenever they use the office network. It started early this morning and one person is affected.,network,False,network-6
Weak wireless signal,The Wi-Fi signal disappears in part of Naas site for every nearby device. It started early this morning and one person is affected.,network,False,network-13
Cannot resolve internal address,The internal server name is not resolving although public websites still load. It started after the latest restart and one person is affected.,network,False,network-12
Update caused an error,The application will not open since yesterday's software update. It started after the latest restart and the whole team is affected.,software,False,software-1
Laptop fan is noisy,The laptop fan is grinding loudly and the computer becomes unusually hot. It started during normal daily work and one person is affected.,hardware,False,hardware-10
Printer fault,The printer jams on every page and shows a hardware error at Carlow office. It started during a meeting and the whole team is affected.,hardware,False,hardware-2
Office connection lost,Both wired and wireless internet access stopped for the Finance team. It started during a meeting and one person is affected.,network,False,network-10
Password reset,I forgot my password and need a normal account reset. It started after the latest restart and one person is affected.,access,False,access-1
Remove leaver access - Suspicious email reported,Please revoke the former employee's account permissions today. It started after the latest restart and the whole team is affected. A suspicious email asks me to open an attachment and enter my password.,access,True,access-3
Projector shows no picture - Unauthorised access concern,The meeting-room projector powers on but does not display an image. It started while working remotely and one person is affected. I noticed unauthorised access to my account this morning.,hardware,True,hardware-8
Wi-Fi disconnecting,Wireless access drops every few minutes throughout the Naas office. It started during a meeting and the whole team is affected.,network,False,network-0
Slow connection,Internet performance is extremely slow for everyone at the Carlow office. It started after the latest restart and one person is affected.,network,False,network-3
Update caused an error,The application will not open since yesterday's software update. It started early this morning and one person is affected.,software,False,software-1
Shared mailbox access,Please authorise the operations team to open the shared mailbox. It started during a meeting and the whole team is affected.,access,False,access-8
Remote desktop disconnecting,The remote session drops whenever the VPN connection becomes unstable. It started after the latest restart and the whole team is affected.,network,False,network-8
Database permission denied,The database connection succeeds but my user is not authorised to view the records. It started when the office opened and one person is affected.,access,False,access-9
Approved plugin fails to load,The approved browser extension is installed but shows an initialization error. It started after the latest restart and one person is affected.,software,False,software-10
Multi-factor code rejected,The portal accepts my password but rejects every authentication code. It started during a meeting and one person is affected.,access,False,access-6
Access denied,Please grant my account permission to the Finance team shared folder. It started when the office opened and one person is affected.,access,False,access-0
Application licence error,The licensed design program rejects its valid licence after an update. It started early this morning and one person is affected.,software,False,software-12
Antivirus scan will not finish,The approved antivirus program stops responding midway through a routine scan. It started late yesterday and one person is affected.,software,False,software-14
Login screen freezes,The payroll software accepts my password but freezes while loading. It started when the office opened and one person is affected.,software,False,software-4
Monitor has no display,The monitor says no signal although the desktop is running for the HR team. It started after the latest restart and the whole team is affected.,hardware,False,hardware-1
VPN cannot connect,The VPN times out before reaching the company network from home. It started when the office opened and one person is affected.,network,False,network-1
Monitor has no display,The monitor says no signal although the desktop is running for the Finance team. It started during normal daily work and one person is affected.,hardware,False,hardware-1
Network printer unreachable,The printer is powered on but no workstation can contact its network address. It started after lunch and one person is affected.,network,False,network-9
Weak wireless signal - Ransomware concern,The Wi-Fi signal disappears in part of Naas office for every nearby device. It started after lunch and one person is affected. A message claims company files were encrypted and demands payment.,network,True,network-13
VPN connected without resources,The VPN reports connected but internal drives and pages remain unreachable. It started during a meeting and the whole team is affected.,network,False,network-14
New account request,Please create a standard system account for an approved new team member. It started while working remotely and one person is affected.,access,False,access-13
Database permission denied,The database connection succeeds but my user is not authorised to view the records. It started while working remotely and one person is affected.,access,False,access-9
Expired account,The system says my user account has expired and will not allow a sign-in. It started while working remotely and one person is affected.,access,False,access-10
Application keeps crashing,The finance application closes whenever the HR team saves a report. It started during a meeting and one person is affected.,software,False,software-0
Permission changed unexpectedly,I can log in but no longer have access to files I was authorised to use. It started after lunch and the whole team is affected.,access,False,access-14
Update caused an error,The application will not open since yesterday's software update. It started during a meeting and one person is affected.,software,False,software-1
Printer fault - Spoofed sender reported,The printer jams on every page and shows a hardware error at Carlow office. It started late yesterday and one person is affected. The message appears to impersonate a manager and requests confidential data.,hardware,True,hardware-2
Cloud files synchronising slowly,File synchronisation stalls only while connected to the Carlow branch network. It started during normal daily work and one person is affected.,network,False,network-11
Shared drive unreachable,The reception cannot reach the shared drive over the network. It started during normal daily work and one person is affected.,network,False,network-2
Application keeps crashing,The finance application closes whenever the reception saves a report. It started after the latest restart and one person is affected.,software,False,software-0
Mouse disconnects,The wired mouse repeatedly disconnects when moved to another USB port. It started early this morning and one person is affected.,hardware,False,hardware-9
VPN cannot connect,The VPN times out before reaching the company network from home. It started during normal daily work and one person is affected.,network,False,network-1
Application licence error,The licensed design program rejects its valid licence after an update. It started after the latest restart and the whole team is affected.,software,False,software-12
Email client search broken,The desktop mail application opens normally but returns no search results. It started during normal daily work and one person is affected.,software,False,software-8
Monitor has no display,The monitor says no signal although the desktop is running for the reception. It started after lunch and one person is affected.,hardware,False,hardware-1
Remove leaver access,Please revoke the former employee's account permissions today. It started after the latest restart and one person is affected.,access,False,access-3
Expired account,The system says my user account has expired and will not allow a sign-in. It started after lunch and one person is affected.,access,False,access-10
Antivirus scan will not finish - Unauthorised access concern,The approved antivirus program stops responding midway through a routine scan. It started early this morning and one person is affected. I noticed unauthorised access to my account this morning.,software,True,software-14
Role permissions missing,I can sign in to the reporting application but cannot access the manager functions. It started after the latest restart and the whole team is affected.,access,False,access-7
Email client search broken,The desktop mail application opens normally but returns no search results. It started after the latest restart and the whole team is affected.,software,False,software-8
Permission changed unexpectedly,I can log in but no longer have access to files I was authorised to use. It started when the office opened and one person is affected.,access,False,access-14
Headset microphone broken,The headset plays sound but its microphone does not capture any audio. It started late yesterday and one person is affected.,hardware,False,hardware-12
PDF files will not open,The document reader reports an error for every PDF downloaded by the HR team. It started when the office opened and one person is affected.,software,False,software-5
Permission changed unexpectedly,I can log in but no longer have access to files I was authorised to use. It started after the latest restart and one person is affected.,access,False,access-14
Slow connection - Possible credential theft,"Internet performance is extremely slow for everyone at the Naas office. It started when the office opened and one person is affected. An unexpected page requested my username, password, and authentication code.",network,True,network-3
Remove leaver access,Please revoke the former employee's account permissions today. It started during normal daily work and one person is affected.,access,False,access-3
Cannot reach drive over VPN,My account works locally but the shared drive is unreachable over VPN. It started during normal daily work and one person is affected.,network,False,network-4
Cannot resolve internal address,The internal server name is not resolving although public websites still load. It started during a meeting and the whole team is affected.,network,False,network-12
New account request - Possible malware,Please create a standard system account for an approved new team member. It started early this morning and the whole team is affected. A malware warning appeared after an unexpected download.,access,True,access-13
Database permission denied,The database connection succeeds but my user is not authorised to view the records. It started during a meeting and one person is affected.,access,False,access-9
Office connection lost,Both wired and wireless internet access stopped for the Finance team. It started after lunch and one person is affected.,network,False,network-10
Network printer unreachable,The printer is powered on but no workstation can contact its network address. It started during normal daily work and one person is affected.,network,False,network-9
Second screen flickering,The physical display flickers with different cables and applications. It started early this morning and one person is affected.,hardware,False,hardware-13
Incorrect totals in report,The reporting program calculates the wrong total after importing a spreadsheet. It started after lunch and the whole team is affected.,software,False,software-7
Multi-factor code rejected - Virus warning,The portal accepts my password but rejects every authentication code. It started after lunch and one person is affected. The security scanner detected a possible virus during this incident.,access,True,access-6
Remote desktop disconnecting - Unauthorised access concern,The remote session drops whenever the VPN connection becomes unstable. It started while working remotely and one person is affected. I noticed unauthorised access to my account this morning.,network,True,network-8
VPN connected without resources,The VPN reports connected but internal drives and pages remain unreachable. It started late yesterday and one person is affected.,network,False,network-14
Install approved software,Please install the approved reporting application for the operations team. It started during a meeting and one person is affected.,software,False,software-3
Remove folder permission - Stolen work device,Please remove a contractor's access to the confidential project folder. It started after the latest restart and one person is affected. A company device containing work information has been reported stolen.,access,True,access-11
Cannot reach drive over VPN,My account works locally but the shared drive is unreachable over VPN. It started after lunch and the whole team is affected.,network,False,network-4
Router light is off,There is no internet because the physical router has no power at Carlow office. It started after the latest restart and the whole team is affected.,hardware,False,hardware-4
Email client search broken,The desktop mail application opens normally but returns no search results. It started early this morning and one person is affected.,software,False,software-8
Projector shows no picture,The meeting-room projector powers on but does not display an image. It started early this morning and one person is affected.,hardware,False,hardware-8
Install approved software - Possible credential theft,"Please install the approved reporting application for the reception. It started when the office opened and one person is affected. An unexpected page requested my username, password, and authentication code.",software,True,software-3
Office connection lost - Suspicious sign-in page,Both wired and wireless internet access stopped for the Finance team. It started when the office opened and one person is affected. A fake-looking login page appeared and asked me to confirm my credentials.,network,True,network-10
Install approved software,Please install the approved reporting application for the reception. It started during normal daily work and one person is affected.,software,False,software-3
Shared drive unreachable,The Finance team cannot reach the shared drive over the network. It started early this morning and one person is affected.,network,False,network-2
Network printer unreachable,The printer is powered on but no workstation can contact its network address. It started during a meeting and the whole team is affected.,network,False,network-9
Spreadsheet is frozen,Excel becomes unresponsive when opening the monthly workbook. It started while working remotely and one person is affected.,software,False,software-2
Cannot reach drive over VPN,My account works locally but the shared drive is unreachable over VPN. It started during a meeting and one person is affected.,network,False,network-4
New starter permissions,A new employee needs approved access to the HR portal. It started after the latest restart and the whole team is affected.,access,False,access-2
Office connection lost - Possible data breach,Both wired and wireless internet access stopped for the reception. It started after the latest restart and the whole team is affected. Confidential company information may have been exposed to an unknown person.,network,True,network-10
Install approved software,Please install the approved reporting application for the operations team. It started early this morning and the whole team is affected.,software,False,software-3
Docking station failure,USB devices disconnect whenever the laptop is placed on the dock. It started during a meeting and the whole team is affected.,hardware,False,hardware-3
Cannot use approved feature,The software loads correctly but says my role is not permitted to use approvals. It started after the latest restart and one person is affected.,access,False,access-12
Weak wireless signal,The Wi-Fi signal disappears in part of Carlow branch for every nearby device. It started during a meeting and one person is affected.,network,False,network-13
Role permissions missing,I can sign in to the reporting application but cannot access the manager functions. It started after lunch and one person is affected.,access,False,access-7
New starter permissions,A new employee needs approved access to the HR portal. It started during a meeting and one person is affected.,access,False,access-2
Expired account,The system says my user account has expired and will not allow a sign-in. It started during a meeting and the whole team is affected.,access,False,access-10
Wired connection unavailable,The network cable is connected but the workstation cannot reach any internal site. It started during normal daily work and one person is affected.,network,False,network-5
Damaged charging port,The charger only works when held at an angle in the laptop socket. It started when the office opened and one person is affected.,hardware,False,hardware-11
Cannot log into finance software,The application opens but says my account lacks permission. It started when the office opened and one person is affected.,access,False,access-4
Cloud files synchronising slowly,File synchronisation stalls only while connected to the Naas site network. It started after lunch and the whole team is affected.,network,False,network-11
Remove folder permission,Please remove a contractor's access to the confidential project folder. It started during normal daily work and one person is affected.,access,False,access-11
Email client search broken,The desktop mail application opens normally but returns no search results. It started after the latest restart and one person is affected.,software,False,software-8
Approved plugin fails to load,The approved browser extension is installed but shows an initialization error. It started late yesterday and one person is affected.,software,False,software-10
Access denied,Please grant my account permission to the Finance team shared folder. It started after the latest restart and one person is affected.,access,False,access-0
Role permissions missing,I can sign in to the reporting application but cannot access the manager functions. It started early this morning and the whole team is affected.,access,False,access-7
Cannot use approved feature,The software loads correctly but says my role is not permitted to use approvals. It started during a meeting and the whole team is affected.,access,False,access-12
Laptop fan is noisy - Suspicious sign-in page,The laptop fan is grinding loudly and the computer becomes unusually hot. It started when the office opened and one person is affected. A fake-looking login page appeared and asked me to confirm my credentials.,hardware,True,hardware-10
Router light is off,There is no internet because the physical router has no power at Carlow branch. It started after lunch and one person is affected.,hardware,False,hardware-4
Role permissions missing,I can sign in to the reporting application but cannot access the manager functions. It started while working remotely and one person is affected.,access,False,access-7
Keyboard keys not responding,Several keyboard keys have stopped working on a desktop used by the reception. It started after lunch and one person is affected.,hardware,False,hardware-5
New account request,Please create a standard system account for an approved new team member. It started late yesterday and one person is affected.,access,False,access-13
Cannot reach drive over VPN,My account works locally but the shared drive is unreachable over VPN. It started when the office opened and one person is affected.,network,False,network-4
PDF files will not open,The document reader reports an error for every PDF downloaded by the HR team. It started late yesterday and one person is affected.,software,False,software-5
Email client search broken,The desktop mail application opens normally but returns no search results. It started early this morning and the whole team is affected.,software,False,software-8
Damaged charging port,The charger only works when held at an angle in the laptop socket. It started while working remotely and one person is affected.,hardware,False,hardware-11
Permission changed unexpectedly,I can log in but no longer have access to files I was authorised to use. It started during a meeting and one person is affected.,access,False,access-14
Cloud files synchronising slowly,File synchronisation stalls only while connected to the Naas office network. It started after lunch and one person is affected.,network,False,network-11
Expired account,The system says my user account has expired and will not allow a sign-in. It started during normal daily work and one person is affected.,access,False,access-10
Database permission denied - Suspicious email reported,The database connection succeeds but my user is not authorised to view the records. It started late yesterday and one person is affected. A suspicious email asks me to open an attachment and enter my password.,access,True,access-9
Projector shows no picture,The meeting-room projector powers on but does not display an image. It started after the latest restart and the whole team is affected.,hardware,False,hardware-8
Access denied,Please grant my account permission to the operations team shared folder. It started during a meeting and the whole team is affected.,access,False,access-0
New starter permissions,A new employee needs approved access to the HR portal. It started while working remotely and one person is affected.,access,False,access-2
Shared drive unreachable,The HR team cannot reach the shared drive over the network. It started early this morning and the whole team is affected.,network,False,network-2
Keyboard keys not responding,Several keyboard keys have stopped working on a desktop used by the Finance team. It started when the office opened and one person is affected.,hardware,False,hardware-5
Laptop will not start,The laptop power light stays off after changing the charger at Carlow office. It started when the office opened and one person is affected.,hardware,False,hardware-0
Application licence error,The licensed design program rejects its valid licence after an update. It started early this morning and the whole team is affected.,software,False,software-12
Install approved software - Suspicious email reported,Please install the approved reporting application for the HR team. It started after the latest restart and the whole team is affected. A suspicious email asks me to open an attachment and enter my password.,software,True,software-3
Login screen freezes,The payroll software accepts my password but freezes while loading. It started after lunch and the whole team is affected.,software,False,software-4
Projector shows no picture,The meeting-room projector powers on but does not display an image. It started after lunch and the whole team is affected.,hardware,False,hardware-8
Access denied - Suspicious email reported,Please grant my account permission to the HR team shared folder. It started early this morning and one person is affected. A suspicious email asks me to open an attachment and enter my password.,access,True,access-0
Remote desktop disconnecting,The remote session drops whenever the VPN connection becomes unstable. It started when the office opened and one person is affected.,network,False,network-8
Wired connection unavailable,The network cable is connected but the workstation cannot reach any internal site. It started early this morning and the whole team is affected.,network,False,network-5
Slow connection,Internet performance is extremely slow for everyone at the Naas office. It started while working remotely and one person is affected.,network,False,network-3
Spreadsheet is frozen,Excel becomes unresponsive when opening the monthly workbook. It started after lunch and one person is affected.,software,False,software-2
Password reset,I forgot my password and need a normal account reset. It started after the latest restart and the whole team is affected.,access,False,access-1
Headset microphone broken - Possible credential theft,"The headset plays sound but its microphone does not capture any audio. It started after lunch and the whole team is affected. An unexpected page requested my username, password, and authentication code.",hardware,True,hardware-12
Payroll export fails,The payroll application accepts the user login but fails while exporting data. It started while working remotely and one person is affected.,software,False,software-13
PDF files will not open,The document reader reports an error for every PDF downloaded by the Finance team. It started early this morning and one person is affected.,software,False,software-5
Mouse disconnects,The wired mouse repeatedly disconnects when moved to another USB port. It started while working remotely and one person is affected.,hardware,False,hardware-9
Cannot resolve internal address,The internal server name is not resolving although public websites still load. It started early this morning and the whole team is affected.,network,False,network-12
Browser closes unexpectedly,The web browser exits whenever a second tab is opened. It started during normal daily work and one person is affected.,software,False,software-6
New account request,Please create a standard system account for an approved new team member. It started during a meeting and one person is affected.,access,False,access-13
Access denied,Please grant my account permission to the Finance team shared folder. It started while working remotely and one person is affected.,access,False,access-0
Projector shows no picture,The meeting-room projector powers on but does not display an image. It started after lunch and one person is affected.,hardware,False,hardware-8
Network printer unreachable,The printer is powered on but no workstation can contact its network address. It started when the office opened and one person is affected.,network,False,network-9
Cannot use approved feature,The software loads correctly but says my role is not permitted to use approvals. It started after the latest restart and the whole team is affected.,access,False,access-12
VPN cannot connect,The VPN times out before reaching the company network from home. It started during a meeting and one person is affected.,network,False,network-1
Incorrect totals in report - Possible data breach,The reporting program calculates the wrong total after importing a spreadsheet. It started early this morning and one person is affected. Confidential company information may have been exposed to an unknown person.,software,True,software-7
Shared mailbox access,Please authorise the HR team to open the shared mailbox. It started during normal daily work and one person is affected.,access,False,access-8
Laptop will not start,The laptop power light stays off after changing the charger at Naas office. It started after lunch and the whole team is affected.,hardware,False,hardware-0
Permission changed unexpectedly,I can log in but no longer have access to files I was authorised to use. It started while working remotely and one person is affected.,access,False,access-14
Approved plugin fails to load,The approved browser extension is installed but shows an initialization error. It started during a meeting and one person is affected.,software,False,software-10
Laptop fan is noisy,The laptop fan is grinding loudly and the computer becomes unusually hot. It started after the latest restart and one person is affected.,hardware,False,hardware-10
Weak wireless signal,The Wi-Fi signal disappears in part of Carlow office for every nearby device. It started when the office opened and one person is affected.,network,False,network-13
Router light is off,There is no internet because the physical router has no power at Carlow branch. It started early this morning and one person is affected.,hardware,False,hardware-4
Login screen freezes,The payroll software accepts my password but freezes while loading. It started while working remotely and one person is affected.,software,False,software-4
Cannot log into finance software,The application opens but says my account lacks permission. It started during normal daily work and one person is affected.,access,False,access-4
Application keeps crashing,The finance application closes whenever the HR team saves a report. It started when the office opened and one person is affected.,software,False,software-0
Antivirus scan will not finish,The approved antivirus program stops responding midway through a routine scan. It started during a meeting and the whole team is affected.,software,False,software-14
Login screen freezes - Suspicious sign-in page,The payroll software accepts my password but freezes while loading. It started during a meeting and the whole team is affected. A fake-looking login page appeared and asked me to confirm my credentials.,software,True,software-4
Cloud files synchronising slowly,File synchronisation stalls only while connected to the Naas site network. It started when the office opened and one person is affected.,network,False,network-11
PDF files will not open,The document reader reports an error for every PDF downloaded by the reception. It started early this morning and the whole team is affected.,software,False,software-5
Payroll export fails,The payroll application accepts the user login but fails while exporting data. It started when the office opened and one person is affected.,software,False,software-13
Mouse disconnects,The wired mouse repeatedly disconnects when moved to another USB port. It started after lunch and the whole team is affected.,hardware,False,hardware-9
VPN cannot connect,The VPN times out before reaching the company network from home. It started early this morning and the whole team is affected.,network,False,network-1
Mouse disconnects,The wired mouse repeatedly disconnects when moved to another USB port. It started after lunch and one person is affected.,hardware,False,hardware-9
Application keeps crashing - Suspicious email reported,The finance application closes whenever the Finance team saves a report. It started early this morning and one person is affected. A suspicious email asks me to open an attachment and enter my password.,software,True,software-0
Payroll export fails,The payroll application accepts the user login but fails while exporting data. It started during normal daily work and one person is affected.,software,False,software-13
Keyboard keys not responding,Several keyboard keys have stopped working on a desktop used by the HR team. It started during normal daily work and one person is affected.,hardware,False,hardware-5
Network printer unreachable,The printer is powered on but no workstation can contact its network address. It started early this morning and the whole team is affected.,network,False,network-9
Calendar application frozen,The calendar stops responding after a meeting invitation is accepted. It started after the latest restart and one person is affected.,software,False,software-9
Install approved software,Please install the approved reporting application for the HR team. It started late yesterday and one person is affected.,software,False,software-3
Password reset,I forgot my password and need a normal account reset. It started early this morning and one person is affected.,access,False,access-1
Slow connection - Suspicious email reported,Internet performance is extremely slow for everyone at the Naas office. It started after the latest restart and the whole team is affected. A suspicious email asks me to open an attachment and enter my password.,network,True,network-3
Damaged charging port,The charger only works when held at an angle in the laptop socket. It started early this morning and one person is affected.,hardware,False,hardware-11
Antivirus scan will not finish,The approved antivirus program stops responding midway through a routine scan. It started when the office opened and one person is affected.,software,False,software-14
Network printer unreachable,The printer is powered on but no workstation can contact its network address. It started after the latest restart and the whole team is affected.,network,False,network-9
Shared drive unreachable,The HR team cannot reach the shared drive over the network. It started during a meeting and the whole team is affected.,network,False,network-2
Weak wireless signal,The Wi-Fi signal disappears in part of Carlow branch for every nearby device. It started while working remotely and one person is affected.,network,False,network-13
Antivirus scan will not finish,The approved antivirus program stops responding midway through a routine scan. It started after the latest restart and one person is affected.,software,False,software-14
Weak wireless signal - Possible malware,The Wi-Fi signal disappears in part of Carlow office for every nearby device. It started early this morning and the whole team is affected. A malware warning appeared after an unexpected download.,network,True,network-13
Shared mailbox access,Please authorise the reception to open the shared mailbox. It started late yesterday and one person is affected.,access,False,access-8
Internal website times out - Ransomware concern,The intranet cannot be reached from any computer at Naas office. It started during normal daily work and one person is affected. A message claims company files were encrypted and demands payment.,network,True,network-7
Wi-Fi disconnecting,Wireless access drops every few minutes throughout the Naas office. It started during a meeting and one person is affected.,network,False,network-0
Webcam not detected,The external webcam is not recognised after reconnecting it at Naas site. It started while working remotely and one person is affected.,hardware,False,hardware-7
Network printer unreachable,The printer is powered on but no workstation can contact its network address. It started after lunch and the whole team is affected.,network,False,network-9
Cannot use approved feature - Unknown administrator activity,The software loads correctly but says my role is not permitted to use approvals. It started during a meeting and one person is affected. An unrecognised administrator changed settings without approval.,access,True,access-12
Approved plugin fails to load,The approved browser extension is installed but shows an initialization error. It started during normal daily work and one person is affected.,software,False,software-10
Printer fault,The printer jams on every page and shows a hardware error at Carlow office. It started after the latest restart and the whole team is affected.,hardware,False,hardware-2
Cloud files synchronising slowly - Stolen work device,File synchronisation stalls only while connected to the Naas office network. It started after the latest restart and one person is affected. A company device containing work information has been reported stolen.,network,True,network-11
Permission changed unexpectedly,I can log in but no longer have access to files I was authorised to use. It started early this morning and the whole team is affected.,access,False,access-14
Cloud files synchronising slowly,File synchronisation stalls only while connected to the Carlow office network. It started while working remotely and one person is affected.,network,False,network-11
New starter permissions,A new employee needs approved access to the HR portal. It started after lunch and one person is affected.,access,False,access-2
Permission changed unexpectedly - Unauthorised access concern,I can log in but no longer have access to files I was authorised to use. It started early this morning and one person is affected. I noticed unauthorised access to my account this morning.,access,True,access-14
Login screen freezes,The payroll software accepts my password but freezes while loading. It started during a meeting and one person is affected.,software,False,software-4
Application keeps crashing,The finance application closes whenever the reception saves a report. It started after lunch and the whole team is affected.,software,False,software-0
Internal website times out,The intranet cannot be reached from any computer at Naas site. It started late yesterday and one person is affected.,network,False,network-7
Update caused an error,The application will not open since yesterday's software update. It started after lunch and one person is affected.,software,False,software-1
Second screen flickering,The physical display flickers with different cables and applications. It started after lunch and the whole team is affected.,hardware,False,hardware-13
Laptop fan is noisy,The laptop fan is grinding loudly and the computer becomes unusually hot. It started after lunch and one person is affected.,hardware,False,hardware-10
Router light is off - Possible malware,There is no internet because the physical router has no power at Naas office. It started after the latest restart and one person is affected. A malware warning appeared after an unexpected download.,hardware,True,hardware-4
Headset microphone broken,The headset plays sound but its microphone does not capture any audio. It started when the office opened and one person is affected.,hardware,False,hardware-12
Laptop battery is swollen - Unknown administrator activity,The laptop case is lifting near the battery and the device should be inspected. It started early this morning and the whole team is affected. An unrecognised administrator changed settings without approval.,hardware,True,hardware-6
Role permissions missing - Possible data breach,I can sign in to the reporting application but cannot access the manager functions. It started early this morning and one person is affected. Confidential company information may have been exposed to an unknown person.,access,True,access-7
Monitor has no display,The monitor says no signal although the desktop is running for the HR team. It started after lunch and the whole team is affected.,hardware,False,hardware-1
Printer fault,The printer jams on every page and shows a hardware error at Naas office. It started when the office opened and one person is affected.,hardware,False,hardware-2
